FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180101;0000;3;;;
180102;0000;1;;;
180103;0000;1;;;
180104;0000;3;;;
180105;0000;2;;;
180106;0000;3;;;
180107;0000;1;;;
180108;0000;;;1;
180109;0000;;;1;
180110;0000;;;1;
180111;0000;;;1;
180112;0000;3;;;
180113;0000;5;;;
180114;0000;3;;;
180115;0000;4;;;
180116;0000;5;;;
180117;0000;2;;;
180118;0000;2;;;
180119;0000;3;;;
180120;0000;2;;;
180121;0000;3;;;
180122;0000;4;;;
180123;0000;3;;;
180124;0000;5;;;
180125;0000;5;;;
180126;0000;3;;;
180127;0000;3;;;
180128;0000;2;;;
180129;0000;4;;;
180130;0000;2;;;
180131;0000;4;;;
180201;0000;6;;;
180202;0000;3;;;
180203;0000;1;;;
180204;0000;1;;;
180205;0000;2;;;
180206;0000;2;;;
180207;0000;2;;;
180208;0000;3;;;
180209;0000;3;;;
180210;0000;4;;;
180211;0000;4;;;
180212;0000;3;;;
180213;0000;4;;;
180214;0000;3;;;
180215;0000;3;;;
180216;0000;2;;;
180217;0000;2;;;
180218;0000;3;;;
180219;0000;4;;;
180220;0000;2;;;
180221;0000;4;;;
180222;0000;5;;;
180223;0000;2;;;
180224;0000;2;;;
180225;0000;2;;;
180226;0000;2;;;
180227;0000;2;;;
180228;0000;2;;;
180301;0000;3;;;
180302;0000;3;;;
180303;0000;4;;;
180304;0000;4;;;
180305;0000;4;;;
180306;0000;5;;;
180307;0000;7;;;
180308;0000;4;;;
180309;0000;;;5;
180310;0000;;;1;
180311;0000;;;1;
180312;0000;;;6;
180313;0000;11;;;
180314;0000;14;;;
180315;0000;18;;;
180316;0000;12;;;
180317;0000;16;;;
180318;0000;25;;;
180319;0000;22;;;
180320;0000;10;;;
180321;0000;15;;;
180322;0000;8;;;
180323;0000;12;;;
180324;0000;15;;;
180325;0000;19;;;
180326;0000;15;;;
180327;0000;11;;;
180328;0000;15;;;
180329;0000;6;;;
180330;0000;10;;;
180331;0000;8;;;
180401;0000;8;;;
180402;0000;15;;;
180403;0000;11;;;
180404;0000;18;;;
180405;0000;26;;;
180406;0000;38;;;
180407;0000;52;;;
180408;0000;46;;;
180409;0000;17;;;
